,city,latitude,longitude,temperature,humidity,cloudiness,wind,description,country
156,saint-philippe,-21.36,55.77,66.2,59,75,5.82,broken clouds,RE
157,aklavik,68.22,-135.01,53.6,46,75,9.17,broken clouds,CA
158,cape town,-33.93,18.42,54.0,81,99,1.12,overcast clouds,ZA
159,new norfolk,-42.78,147.06,61.0,82,84,1.99,broken clouds,AU
160,sri aman,1.24,111.46,73.4,100,89,1.19,overcast clouds,MY
161,imbituba,-28.24,-48.67,68.0,68,90,28.86,overcast clouds,BR
162,ramanuj ganj,23.8,83.7,75.04,87,52,0.98,broken clouds,IN
163,kavieng,-2.57,150.8,83.79,74,35,11.43,scattered clouds,PG
164,kununurra,-15.77,128.73,78.8,78,42,3.36,scattered clouds,AU
165,camopi,3.17,-52.32,80.17,65,93,5.77,overcast clouds,GF
166,esmeraldas,-19.76,-44.31,87.8,25,51,5.82,broken clouds,BR
167,rovaniemi,66.5,25.72,37.4,69,5,4.7,clear sky,FI
168,mandalgovi,45.76,106.27,51.6,50,100,21.56,overcast clouds,MN
169,port elizabeth,-33.92,25.57,51.8,93,3,5.82,clear sky,ZA
170,barcelos,41.54,-8.62,66.2,93,90,11.41,light rain,PT
171,bambous virieux,-20.34,57.76,71.6,73,40,12.75,scattered clouds,MU
172,harer,9.31,42.13,59.43,88,35,3.51,light rain,ET
173,mount isa,-20.73,139.5,69.8,100,75,13.87,heavy intensity shower rain,AU
174,pontianak,-0.03,109.33,75.29,94,86,3.96,overcast clouds,ID
175,vostok,46.49,135.88,45.82,100,99,1.97,overcast clouds,RU
176,puerto ayora,-0.74,-90.35,66.34,88,93,10.31,overcast clouds,EC
177,yuancheng,36.65,107.79,59.29,66,94,6.82,overcast clouds,CN
178,provideniya,64.38,-173.3,43.25,72,90,2.17,overcast clouds,RU
179,mar del plata,-38.0,-57.56,48.2,63,35,10.29,scattered clouds,AR
180,togur,58.36,82.83,48.9,96,100,7.63,overcast clouds,RU
181,praia,14.92,-23.51,78.82,77,11,2.82,few clouds,CV
182,tuktoyaktuk,69.45,-133.04,48.2,76,75,6.93,broken clouds,CA
183,ostrovnoy,68.05,39.51,42.37,78,94,7.29,overcast clouds,RU
184,presque isle,46.68,-68.02,51.8,43,90,10.29,overcast clouds,US
185,pisco,-13.7,-76.22,64.4,77,54,14.99,broken clouds,PE
186,burgersdorp,-31.0,26.33,54.14,33,0,5.03,clear sky,ZA
187,high prairie,55.43,-116.49,64.45,69,100,10.42,overcast clouds,CA
188,nalut,30.33,10.85,77.79,31,0,11.81,clear sky,LY
189,madhupur,24.25,86.65,80.46,78,0,3.53,clear sky,IN
190,basqal,40.76,48.39,66.2,63,75,10.29,broken clouds,AZ
191,inta,66.03,60.17,42.01,82,100,7.16,overcast clouds,RU
192,blankenberge,51.31,3.13,64.4,68,2,9.17,clear sky,BE
193,peleduy,59.63,112.74,46.62,75,100,3.96,overcast clouds,RU
194,comodoro rivadavia,-45.87,-67.5,57.2,44,20,9.17,few clouds,AR
195,sinnamary,5.38,-52.95,80.33,83,99,11.61,overcast clouds,GF
196,uyuni,-20.46,-66.83,51.67,39,0,7.92,clear sky,BO
197,ayan,56.45,138.17,53.51,60,38,9.26,scattered clouds,RU
198,camana,-16.62,-72.71,61.9,74,26,6.33,scattered clouds,PE
199,lianzhou,24.78,112.38,72.57,88,70,1.68,broken clouds,CN
200,garissa,-0.45,39.64,73.94,78,23,17.6,few clouds,KE
201,narsaq,60.92,-46.05,33.8,69,9,5.82,clear sky,GL
202,aran,40.63,46.98,69.8,52,20,4.7,few clouds,AZ
203,saldanha,-33.01,17.94,48.2,81,77,2.24,broken clouds,ZA
204,concordia,-31.39,-58.02,59.0,41,4,6.93,clear sky,AR
205,rundu,-17.93,19.77,70.29,24,5,5.06,clear sky,NA
206,kemijarvi,66.71,27.43,31.59,95,0,3.11,clear sky,FI
207,hastings,50.86,0.57,62.6,82,79,11.41,broken clouds,GB
208,puerto lempira,15.27,-83.77,87.8,70,20,9.17,few clouds,HN
209,port hardy,50.7,-127.42,60.8,82,75,3.36,broken clouds,CA
210,russell,32.35,-85.2,69.8,73,90,3.36,overcast clouds,US
211,santa cruz cabralia,-16.28,-39.02,75.2,78,40,9.17,scattered clouds,BR
212,tullahoma,35.36,-86.21,69.8,77,40,5.82,scattered clouds,US
213,cockburn town,21.46,-71.14,84.2,70,40,3.36,scattered clouds,TC
214,mount gambier,-37.83,140.77,59.0,87,75,16.11,broken clouds,AU
215,georgetown,5.41,100.34,80.6,88,20,5.82,few clouds,MY
216,quelimane,-17.88,36.89,69.71,93,0,3.85,clear sky,MZ
217,margate,51.38,1.39,64.99,81,4,4.0,clear sky,GB
218,katangli,51.71,143.23,49.8,78,97,7.14,overcast clouds,RU
219,port blair,11.67,92.75,82.2,79,100,25.84,light rain,IN
220,muisne,0.6,-80.03,80.6,78,75,9.17,broken clouds,EC
221,ahipara,-35.17,173.17,59.25,62,65,1.07,broken clouds,NZ
222,east stroudsburg,41.0,-75.18,52.0,75,0,4.29,clear sky,US
223,atar,20.52,-13.05,90.34,44,81,6.04,broken clouds,MR
224,iqaluit,63.75,-68.51,35.6,97,90,6.93,overcast clouds,CA
225,wuchi,29.38,103.02,53.76,99,100,1.83,overcast clouds,CN
226,vung tau,10.35,107.08,80.96,78,100,5.1,overcast clouds,VN
227,honningsvag,70.98,25.97,43.36,68,95,14.76,overcast clouds,NO
228,kattivakkam,13.22,80.32,78.8,88,75,3.36,mist,IN
229,gangarampur,25.4,88.52,80.83,80,6,5.7,clear sky,IN
230,lagoa,39.05,-27.98,70.07,79,1,18.97,clear sky,PT
231,praia da vitoria,38.73,-27.07,68.0,88,75,13.22,broken clouds,PT
232,sunrise manor,36.21,-115.07,98.6,12,1,20.8,clear sky,US
233,san luis,-33.3,-66.34,51.03,38,0,10.71,clear sky,AR
234,terrace,54.52,-128.6,59.0,93,75,19.46,light intensity shower rain,CA
235,sebezh,56.3,28.47,43.81,90,38,5.26,scattered clouds,RU
236,laguna,38.42,-121.42,87.01,30,1,8.05,clear sky,US
237,loknya,56.83,30.15,43.09,91,0,6.82,clear sky,RU
238,kawalu,-7.38,108.21,73.62,88,90,1.28,overcast clouds,ID
239,balkanabat,39.51,54.37,70.18,66,1,13.47,clear sky,TM
240,ancud,-41.87,-73.82,48.0,73,0,1.99,clear sky,CL
241,vardo,70.37,31.11,43.57,74,81,18.43,broken clouds,NO
242,svetlogorsk,52.63,29.73,49.06,95,0,6.87,clear sky,BY
243,khatanga,71.97,102.5,44.42,85,100,1.39,overcast clouds,RU
244,mahibadhoo,3.78,72.97,81.86,77,100,11.21,moderate rain,MV
245,huaraz,-9.53,-77.53,58.82,53,89,3.44,moderate rain,PE
246,grindavik,63.84,-22.43,46.4,75,75,26.4,broken clouds,IS
247,juneau,58.3,-134.42,57.0,76,90,1.72,overcast clouds,US
248,kasauli,30.9,76.96,59.58,85,0,5.19,clear sky,IN
249,waldshut-tiengen,47.62,8.22,62.01,91,92,2.1,overcast clouds,DE
250,santiago del estero,-27.8,-64.26,62.91,29,0,8.08,clear sky,AR
251,camalu,30.85,-116.07,82.56,43,0,12.19,clear sky,MX
