city,country,temperature,description,latitude,longitude,Hotel Name
jamestown,US,66.99,few clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
cape town,ZA,63.0,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
rikitea,PF,73.18,clear sky,-23.12,-134.97,Pension Maro'i
tomohon,ID,75.2,scattered clouds,1.33,124.84,Gardenia Country Inn
tomatlan,MX,89.2,overcast clouds,19.93,-105.25,Norma franco
monte alegre,BR,95.56,scattered clouds,-2.01,-54.07,Hotel Shekinah
kahului,US,82.4,few clouds,20.89,-156.47,Maui Seaside Hotel
atuona,PF,78.87,few clouds,-9.8,-139.03,Villa Enata
nueva concepcion,GT,89.6,scattered clouds,14.2,-91.3,Hotel Villa Las Flores
rikitea,PF,73.18,clear sky,-23.12,-134.97,Pension Maro'i
kathu,TH,87.01,few clouds,7.92,98.33,Novotel Phuket Resort
cape town,ZA,63.0,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
xushan,CN,86.0,clear sky,30.18,121.25,Hangzhou Bay Hotel
kudahuvadhoo,MV,83.01,overcast clouds,2.67,72.89,Kudahuvadhoo Retreat
seminole,US,93.99,broken clouds,28.71,-81.21,WHITNEY-WOLCOTT HOUSE ON LAKE CHARM
vaini,TO,68.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
atuona,PF,78.87,few clouds,-9.8,-139.03,Villa Enata
dakar,SN,82.4,broken clouds,14.69,-17.44,Novotel Dakar
yamada,JP,76.01,few clouds,39.47,141.95,Iroha-ya Inn
tura,IN,74.93,light rain,25.52,90.22,Hotel RIKMAN Continental
mar del plata,AR,55.4,clear sky,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
salalah,OM,80.6,broken clouds,17.02,54.09,HAMDAN PLAZA HOTEL
oistins,BB,87.8,scattered clouds,13.07,-59.53,Butterfly Beach Hotel
hilo,US,80.6,few clouds,19.73,-155.09,Hilo Hawaiian Hotel
kapit,MY,72.88,light rain,2.02,112.93,Hotel Meligai Kapit
albany,US,78.01,scattered clouds,42.6,-73.97,
torbay,CA,66.99,few clouds,47.67,-52.73,Gallows Cove
cap malheureux,MU,73.0,broken clouds,-19.98,57.61,Pereybere Hotel & Spa
hobart,AU,60.01,overcast clouds,-42.88,147.33,St Ives Hobart Accommodation Tasmania
atuona,PF,78.87,few clouds,-9.8,-139.03,Villa Enata
santana do acarau,BR,99.95,clear sky,-3.46,-40.21,Chácara Mister Juan
bend,US,75.2,clear sky,44.06,-121.32,Fairfield Inn & Suites by Marriott Bend Downtown
funadhoo,MV,82.72,overcast clouds,6.15,73.27,Dhaffalhu Tourist Lodge
